City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
683,Hibbing,US,47.4272,-92.9377,41.58,41,0,5.75,clear sky
684,Taoudenni,ML,22.6783,-3.9836,86.04,8,75,6.29,broken clouds
685,Conakry,GN,9.538,-13.6773,79.38,77,98,7.81,overcast clouds
686,Cihuatlan,MX,19.2366,-104.5651,80.28,69,20,9.22,few clouds
687,Nuuk,GL,64.1835,-51.7216,16.41,79,40,18.41,scattered clouds
688,Payakumbuh,ID,-0.2202,100.6308,69.89,99,100,2.42,light rain
689,Kyra,RU,49.5776,111.9753,37.31,78,100,6.4,light rain
690,Zhuhai,CN,22.2769,113.5678,67.78,88,40,12.66,scattered clouds
691,Rondonopolis,BR,-16.4708,-54.6356,80.06,68,6,5.08,clear sky
692,Wick,GB,58.4333,-3.0833,42.85,93,12,2.3,few clouds
693,Otukpo,NG,7.1913,8.1329,78.26,73,100,3.91,overcast clouds
694,Berlevag,NO,70.8578,29.0864,35.6,93,75,10.36,broken clouds
695,Ystad,SE,55.4297,13.8204,43.54,75,47,8.37,scattered clouds
696,Concordia,AR,-31.393,-58.0209,75.27,53,0,4.61,clear sky
697,Lyubytino,RU,58.8122,33.3922,36.48,93,21,6.11,few clouds
698,Ekhabi,RU,53.5102,142.9671,31.93,92,100,8.84,overcast clouds
699,Lacey,US,47.0343,-122.8232,53.82,69,40,5.75,scattered clouds
700,Camalu,MX,30.85,-116.0667,71.85,49,100,17.69,overcast clouds
701,Nishihara,JP,26.1842,127.7558,67.28,68,0,4.61,clear sky
702,Thinadhoo,MV,0.5333,72.9333,83.44,67,57,4.36,broken clouds
703,Bastia,FR,42.6667,9.3333,60.6,89,75,2.3,broken clouds
704,Moindou,NC,-21.6924,165.677,74.95,80,8,4.07,clear sky
705,Bay Roberts,CA,47.5999,-53.2648,35.04,73,87,5.99,overcast clouds
706,Amapa,BR,1.0,-52.0,75.36,96,100,3.69,overcast clouds
707,Caxito,AO,-8.5785,13.6643,75.88,99,100,3.98,heavy intensity rain
