City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Tuy Hoa,VN,74.05,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
610,Kalemie,CD,71.76,overcast clouds,-5.9475,29.1947,Mahobilali
611,Brae,GB,45.48,clear sky,60.3964,-1.353,Busta House Hotel
612,Alpharetta,US,65.52,clear sky,34.0754,-84.2941,Hilton Garden Inn Atlanta Northpoint
613,Mancio Lima,BR,79.41,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
614,Immokalee,US,91.9,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
615,Mahibadhoo,MV,84.31,broken clouds,3.7833,72.9667,Omadhoo Inn
616,Hobyo,SO,82.69,few clouds,5.3505,48.5268,Iftin hotel hobyo
617,Mayumba,GA,76.14,overcast clouds,-3.432,10.6554,LIKWALE LODGE
618,Waipawa,NZ,61.99,broken clouds,-41.4122,175.5153,Tora Coastal Walk
619,Mackay,AU,68.68,overcast clouds,-21.15,149.2,International Lodge Motel
620,Hailar,CN,48.94,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
621,Ambatofinandrahana,MG,61.36,overcast clouds,-20.55,46.8,commune ambatofinandrahana
622,Bonavista,CA,29.35,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
623,Luanda,AO,75.92,heavy intensity rain,-8.8368,13.2343,EPIC SANA Luanda
624,Richards Bay,ZA,63.77,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
625,Nantucket,US,51.91,clear sky,41.2835,-70.0995,Jared Coffin House
627,Mpika,ZM,61.41,scattered clouds,-11.8343,31.4529,Melodies Lodge
628,Burnie,AU,54.95,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
629,Pacific Grove,US,67.01,scattered clouds,36.6177,-121.9166,Lovers Point Inn
630,Okhotsk,RU,26.28,overcast clouds,59.3833,143.3,
631,Half Moon Bay,US,68.41,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
632,Grants,US,71.83,broken clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
633,Sechura,PE,78.53,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
634,Pemangkat,ID,77.31,overcast clouds,1.1667,108.9667,Ramah Kost KITA
635,Coari,BR,80.73,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
636,Tigil,RU,17.62,broken clouds,57.8,158.6667,Tigil'
637,La Primavera,CO,84.74,heavy intensity rain,5.4906,-70.4092,La Riviera Hotel Colonial
638,Chimbote,PE,70.12,scattered clouds,-9.0853,-78.5783,Hotel Briliá
639,Mandalgovi,MN,46.51,overcast clouds,45.7625,106.2708,В.Ганбат
640,Mazamari,PE,81.37,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
641,Kemerovo,RU,33.49,clear sky,55.3333,86.0833,Olymp-Plaza
642,Neath,GB,52.21,overcast clouds,51.6632,-3.8044,The Castle Hotel
643,Bo Rai,TH,75.52,overcast clouds,12.5728,102.5371,Baiboon Resort
644,Kurunegala,LK,74.82,overcast clouds,7.4863,80.3623,Galhena Estate Buluwala
645,Hermiston,US,59.14,scattered clouds,45.8404,-119.2895,Oxford Suites Hermiston
646,Gravdal,NO,44.49,clear sky,68.1214,13.5031,Skreda Rorbusuiter
647,Pecos,US,84.29,overcast clouds,31.4229,-103.4932,Knights Inn & Suites Pecos
648,Solwezi,ZM,60.96,few clouds,-12.1688,26.3894,Country Lodge Solwezi
649,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
650,Broome,US,40.69,overcast clouds,42.2506,-75.833,Chenango Valley State Park
651,Turayf,SA,62.4,scattered clouds,31.6725,38.6637,Turaif
652,Fez,MA,57.45,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
